"geoid","temp","rh","wbt"
"13269",28.2,73.7,76.1
"13271",28.4,74.6,76.6
"13273",27.9,75.4,76
"13275",27.6,79.5,76.6
"13277",27.5,77.8,75.9
"13279",28,76.1,76.4
"13281",22,80.4,67.1
"13283",28,76.6,76.5
"13285",26.8,71.9,73.2
"13287",27.7,76.4,75.9
"13289",28.3,71.2,75.5
"13291",23,77.8,68.2
"13293",27.7,72.4,74.9
"13295",25.3,74.6,71.4
"13297",26.8,71.9,73.2
"13299",27.6,79.1,76.5
"13301",27.7,73.9,75.3
"13303",27.9,73.2,75.4
"13305",28.1,77.4,76.9
"13307",28,76,76.3
"13309",28.1,75.5,76.4
"13311",24.9,75.1,70.8
"13313",25.4,74.6,71.5
"13315",27.9,75.3,76
"13317",27.6,74.4,75.2
"13319",28.4,70.2,75.4
"13321",27.7,76.8,76
"15001",15,57.8,50.5
"15003",23.7,81.2,70.2
"15005",25,85.7,73.6
"15007",25.3,85.9,74.2
"15009",25,86.4,73.8
"16001",29.3,23.3,61.3
"16003",22.4,38,57.1
"16005",24.4,27.7,56.7
"16007",22.3,33.9,55.8
"16009",23.4,37.6,58.4
"16011",27.1,25.3,59.3
"16013",18.2,36,50.6
"16015",22.3,37.7,56.9
"16017",20.8,47.5,57.3
"16019",23,35.5,57.3
"16021",20,55.4,57.9
"16023",24.2,29.4,57
"16025",19.7,34.8,52.4
"16027",30.9,22.9,63.1
"16029",21.7,36.9,55.8
"16031",26.1,25.8,58.2
"16033",23.8,33.8,57.9
"16035",20,47.5,56.1
"16037",18.5,41,52.2
"16039",26.6,25,58.5
"16041",25.9,29.1,59.2
"16043",21,40.9,55.9
"16045",27.7,24.5,59.8
"16047",29.9,20.6,60.8
"16049",20.2,48.5,56.6
"16051",27.2,27.5,60.3
"16053",29.8,21.3,61
"16055",24,37.8,59.4
"16057",24.7,28,57.2
"16059",20.4,41.5,55.1
"16061",27,23.5,58.5
"16063",29.3,20.6,60.1
"16065",23,35.5,57.3
"16067",28,23.1,59.6
"16069",27.2,23,58.5
"16071",25.1,26.4,57.1
"16073",30,21.1,61.2
"16075",31.3,19.7,62.1
"16077",24.8,27,56.9
"16079",20.5,45.3,56.3
"16081",20.7,41.6,55.6
"16083",28,22.7,59.4
"16085",18.1,42.4,52
"16087",28.3,24.1,60.4
"17001",24.5,79.8,71.3
"17003",26.8,75.6,74.2
"17005",25.3,77.6,72.1
"17007",23.7,73.7,68.4
"17009",24.4,80.7,71.3
"17011",23.7,80.6,70.1
"17013",24.7,80.5,71.8
"17015",23.9,77.8,69.8
"17017",24.3,80.7,71.2
"17019",24,81.6,70.9
"17021",24.4,80.8,71.4
"17023",24.7,79.3,71.5
"17025",25.3,77.1,72
"17027",26.2,75.8,73.2
"17029",24.4,80.3,71.2
"17031",23.6,78.5,69.4
"17033",24.8,79.2,71.6
"17035",24.5,80.5,71.5
"17037",23.5,75.7,68.6
"17039",24.1,81.1,70.9
"17041",24.3,80.8,71.2
"17043",23.7,78.5,69.6
